@relation chutar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data

-0.30438,-0.018104,-0.952379,51.51548,35
-0.166489,0.138807,-0.976224,52.911488,24
-0.029159,-0.024722,-0.999269,38.299938,33
-0.412928,0.157189,-0.897097,46.909866,33
-0.499944,-0.022281,-0.865771,42.250179,26
-0.140798,-0.026036,-0.989696,36.387733,39
-0.165397,-0.019085,-0.986042,48.998619,39
-0.020425,-0.018537,-0.99962,49.976795,20
-0.134105,-0.039781,-0.990168,24.38084,34
0.439013,0.279377,-0.853941,26.961176,39
-0.36717,0.138166,-0.919835,53.154839,24
-0.06797,-0.026303,-0.997341,34.043385,34
0.015835,-0.01929,-0.999689,48.532543,23
-0.708348,0.149411,-0.689869,49.279297,37
-0.184603,0.1616,-0.969437,45.600697,36
0.047406,-0.018833,-0.998698,49.477478,29
-0.369769,-0.027431,-0.928719,34.582336,23
-0.924427,-0.0194,-0.380865,48.136463,35
-0.304132,-0.009341,-0.952584,95.173103,20
-0.174455,0.075952,-0.981731,92.088928,32
-0.275661,-0.009428,-0.961209,94.316246,25
-0.27535,0.074199,-0.958476,94.521263,32
-0.164975,-0.009943,-0.986248,91.745354,23
-0.132623,0.076533,-0.988207,91.473999,26
-0.174471,0.07605,-0.981721,92.094185,38
-0.174003,0.076043,-0.981805,92.046043,20
-0.295804,-0.010618,-0.95519,94.778656,38
-0.305741,-0.010923,-0.952052,95.012482,38
-0.286379,-0.011117,-0.958052,94.334389,27
-0.191419,0.076551,-0.978519,91.527267,37
-0.063506,-0.009898,-0.997932,89.621635,29
-0.222858,0.07607,-0.971878,92.24102,26
-0.204304,-0.00973,-0.978859,91.578041,24
-0.097617,0.078061,-0.992158,90.139641,33
-0.224618,0.076662,-0.971427,92.191933,33
-0.074414,0.078612,-0.994124,89.84613,37
-0.09595,0.078483,-0.992287,89.997208,36
-0.224799,0.07685,-0.97137,92.049942,36
-0.096112,-0.011154,-0.995308,89.642708,37
0.040843,0.074158,-0.99641,95.45475,30
-0.115178,0.073729,-0.990605,96.308006,24
