@relation chutar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data

0.444563,0.167433,0.87996,44.137222,35
0.765934,-0.018502,0.642652,47.713387,37
0.451635,0.142431,0.880761,51.603756,26
-0.4147,-0.018396,0.909772,50.806084,27
-0.301831,-0.08215,0.949815,46.829662,29
0.792122,0.155489,0.590225,46.394894,37
0.419951,0.137168,0.897121,53.544205,39
0.423894,-0.017525,0.905542,53.166512,34
0.184867,-0.019018,0.982579,49.040783,38
0.184563,-0.019045,0.982636,49.040699,37
0.864951,-0.046334,0.499713,20.94594,20
0.816792,-0.053267,0.574468,18.505152,23
0.851074,-0.048477,0.522803,20.048191,38
0.181605,-0.0908,0.979171,11.732723,25
0.148059,0.584042,0.798106,13.275541,32
0.828613,0.330618,0.451766,22.606203,26
0.298246,0.563705,0.77025,13.792773,26
0.864301,-0.046457,0.500824,20.89736,29
0.143486,0.584473,0.798626,13.286438,37
0.834478,-0.0509,0.548685,19.261606,32
0.359594,-0.086193,0.929119,12.328443,37
0.828171,0.331014,0.452286,22.613665,20
0.864587,-0.046417,0.500335,20.905733,25
0.795204,0.358084,0.489312,21.01651,34
0.3609,-0.086128,0.928619,12.340691,26
0.145952,0.584184,0.798391,13.303038,36
0.81281,0.343994,0.470114,21.811369,29
0.274299,-0.088811,0.957535,12.021697,21
0.225471,0.575344,0.786221,13.527832,20
0.816595,-0.053312,0.574744,18.483982,26
0.850971,-0.048511,0.522968,20.087784,22
0.300583,0.563272,0.769659,13.81984,32
0.813069,0.343822,0.469792,21.814913,24
0.18085,-0.090849,0.979306,11.779631,28
0.147464,0.584135,0.798148,13.310852,25
0.301029,0.563305,0.76946,13.820475,36
0.441689,-0.082742,0.893345,12.747964,20
0.441714,-0.082759,0.89333,12.74797,27
0.877174,-0.044302,0.478124,21.757616,23
0.370618,0.548608,0.749448,14.174449,27
0.301262,0.563206,0.769442,13.820286,30
0.363259,-0.086031,0.927708,12.353026,27
0.851178,-0.04847,0.522634,20.088943,38
0.835258,-0.05078,0.547508,19.278273,34
0.066307,0.589337,0.805162,13.162724,27
0.79582,0.35765,0.488628,21.023018,28
0.14801,0.584129,0.798051,13.310571,32
0.813233,0.343712,0.469589,21.814703,34
0.795827,0.357643,0.488621,21.023014,39
0.370781,0.548533,0.749422,14.174388,23
0.865068,-0.046339,0.49951,20.91604,21
0.776202,0.372385,0.508763,20.249773,29
0.86507,-0.046341,0.499506,20.916046,34
0.363362,-0.086064,0.927664,12.353104,33
0.276199,-0.088785,0.956991,12.028532,25
0.276215,-0.089841,0.956888,12.028532,27
0.063561,0.563339,0.823778,13.29079,28
0.799908,0.321003,0.507055,22.974607,28
0.784462,0.318072,0.5324,23.192677,37
0.031325,-0.070434,0.997024,12.697485,34
0.389727,-0.018458,0.920745,50.64407,38
0.780459,0.233274,0.580058,31.860243,20
-0.277521,0.261249,0.924517,28.712698,24
0.412744,-0.020922,0.910607,44.894836,22
0.244938,0.145622,0.95854,50.437374,38
-0.188056,0.280971,0.941111,23.851202,37
0.808423,-0.026373,0.58801,35.834179,25
0.891766,-0.020276,0.452042,46.197975,29
0.429865,0.148505,0.890597,49.557999,20
-0.20335,0.164046,0.965266,44.675671,27
-0.018291,0.153804,0.987932,47.650303,36
0.133763,-0.019196,0.990827,45.5933,28
0.550259,-0.027593,0.834538,32.549259,37
0.129273,-0.050416,0.990327,45.127972,27
0.767672,0.268585,0.581843,27.804167,30
0.524077,0.210548,0.825235,33.924644,28
0.605739,-0.021336,0.795378,43.047279,29
0.330769,0.16227,0.929656,45.496296,30
0.185262,-0.018625,0.982513,50.018204,23
-0.182908,-0.024017,0.982837,39.226128,38
0.02998,0.15564,0.987359,43.664589,25
-0.426231,-0.032356,0.904035,28.993797,36
0.062665,-0.020021,0.997834,46.766392,37
0.201304,-0.024338,0.979226,38.172695,32
0.457356,0.166186,0.873618,43.449486,21
0.434289,0.202169,0.877793,36.672375,21
0.240538,-0.032007,0.970112,29.974468,37
0.63407,-0.026014,0.772838,36.02948,36
0.101111,-0.044121,0.993896,42.026688,35
0.346944,-0.064322,0.935678,44.712666,39
0.108047,0.18158,0.977422,40.745865,21
-0.107514,-0.031357,0.993709,29.855783,31
0.333056,-0.017743,0.94274,52.58054,26
