@relation pasar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data

-0.995302,0.012626,-0.095994,61.337128,19
-0.99531,0.012432,-0.095936,61.337261,5
-0.99531,0.012432,-0.095936,61.338478,7
-0.999694,0.013542,-0.020726,62.628197,14
-0.999698,0.013543,-0.020503,62.630753,20
-0.999696,0.013551,-0.020581,62.660358,19
-0.999692,0.01358,-0.020787,62.687511,18
-0.995709,0.010604,-0.091929,66.27034,16
-0.995738,0.010603,-0.091614,66.269112,22
-0.995773,0.010603,-0.091238,66.265228,22
-0.995881,0.010601,-0.090043,66.263977,25
-0.995912,0.010614,-0.089699,66.263702,18
-0.995913,0.010636,-0.089695,66.263695,16
-0.995912,0.010654,-0.089694,66.263794,17
-0.995912,0.010674,-0.089694,66.263901,14
-0.995912,0.010693,-0.089694,66.264023,21
-0.982853,0.096854,0.156908,8.984928,14
-0.982804,0.09687,0.1572,8.963948,10
-0.982545,0.097374,0.158506,8.880298,8
-0.982547,0.095316,0.159739,8.826792,28
-0.983005,0.088032,0.161095,8.774658,13
-0.968797,0.028287,-0.246236,42.137436,11
-0.968806,0.028271,-0.246203,42.164406,29
-0.968876,0.028225,-0.245932,42.244156,7
-0.968933,0.02816,-0.245716,42.313587,21
-0.969072,0.027535,-0.245238,42.369038,23
-0.969416,0.000442,-0.245422,42.632942,9
-0.969389,-0.000323,-0.24553,42.637009,25
-0.969541,-0.001045,-0.244929,42.662029,26
-0.9695,-0.002028,-0.245081,42.689259,14
-0.969539,-0.002077,-0.244928,42.708523,8
-0.969672,-0.002133,-0.244401,42.725632,12
-0.969852,-0.002178,-0.243684,42.744297,7
-0.970034,-0.002216,-0.242961,42.76202,8
-0.970187,-0.002245,-0.242346,42.777031,23
-0.970378,-0.002301,-0.241582,42.795673,13
-0.970524,-0.002332,-0.240993,42.809971,22
-0.970703,-0.00239,-0.24027,42.827614,20
-0.988772,0.011988,-0.14895,57.764404,20
-0.988798,0.011986,-0.148778,57.752865,11
-0.988829,0.011984,-0.148574,57.722088,27
-0.988912,0.012,-0.14802,57.722702,29
-0.988912,0.012032,-0.148018,57.727646,8
-0.964495,0.014115,-0.263723,50.178951,15
-0.964495,0.014117,-0.263723,50.166542,16
-0.964495,0.014118,-0.263722,50.087189,5
-0.964496,0.014136,-0.26372,50.08741,12
-0.996817,0.011684,-0.078864,61.119286,5
-0.99684,0.011681,-0.078568,61.106194,18
-0.996881,0.011676,-0.078049,61.089916,20
-0.996932,0.011689,-0.077391,61.090656,13
0.174007,0.085315,-0.981042,9.136486,12
0.139442,0.082432,-0.986793,9.423444,25
0.106355,0.029975,-0.993876,9.682038,28
0.076555,-0.032542,-0.996534,10.157808,16
0.076268,-0.032148,-0.996569,10.168503,24
0.07599,-0.031766,-0.996602,10.17916,8
-0.485456,0.071894,-0.8713,11.251021,17
-0.485772,0.071925,-0.871122,11.243176,17
-0.485943,0.070574,-0.871136,11.241951,27
0.777578,0.036989,0.627698,17.035673,18
0.777456,0.036987,0.627848,17.031925,25
0.776136,0.037185,0.629468,16.991573,24
0.77605,0.037214,0.629572,16.989056,8
0.775979,0.037241,0.629658,16.986528,12
0.775389,0.037482,0.630371,16.920925,10
0.774025,0.037541,0.632042,16.857704,17
0.773166,0.037637,0.633086,16.776997,16
0.772218,0.037803,0.634233,16.688684,5
0.771289,0.037993,0.635351,16.597113,21
0.770527,0.038265,0.636257,16.519623,27
0.77002,0.038375,0.636864,16.448891,29
0.769544,0.038527,0.63743,16.367455,5
0.768857,0.038707,0.638248,16.278791,29
0.768067,0.038851,0.639189,16.193539,20
0.767512,0.038938,0.63985,16.106659,16
-0.968568,0.012058,-0.248456,58.515072,16
-0.968604,0.012057,-0.248315,58.50816,12
-0.96864,0.012057,-0.248175,58.478092,24
-0.968796,0.012058,-0.247565,58.477619,18
-0.968796,0.012095,-0.247563,58.47768,14
-0.968796,0.01213,-0.247562,58.477768,25
-0.998581,0.011274,-0.052044,62.648205,7
-0.998612,0.011272,-0.051448,62.643738,14
-0.998631,0.011271,-0.051079,62.631832,5
-0.998682,0.011294,-0.050069,62.632404,12
-0.998682,0.011318,-0.050066,62.633297,5
-0.998682,0.011339,-0.050066,62.634785,26
-0.998681,0.011366,-0.050066,62.636211,15
-0.999526,-0.018978,-0.024229,65.810028,9
-0.999548,-0.01846,-0.023722,65.815025,9
