@relation pasar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data

0.959334,-0.026097,-0.281064,28.135576,22
0.959342,-0.025763,-0.281067,28.137255,21
0.959025,-0.036398,-0.280974,28.134325,24
0.957733,-0.063634,-0.280533,28.132343,26
0.957644,-0.065075,-0.280505,27.65633,20
0.957645,-0.065063,-0.280505,27.653372,21
0.957646,-0.065048,-0.280506,27.653374,29
0.957777,-0.06291,-0.280544,27.470297,22
0.957778,-0.062897,-0.280544,27.470028,29
0.957779,-0.062883,-0.280545,27.469187,5
0.957782,-0.062837,-0.280545,27.468351,22
0.957784,-0.062794,-0.280546,27.466833,25
0.957826,-0.062091,-0.280558,27.431936,19
0.957827,-0.06208,-0.280559,27.431593,25
0.957949,-0.060008,-0.280594,27.218004,13
0.95795,-0.059991,-0.280595,27.217533,7
0.957951,-0.059974,-0.280595,27.215836,24
0.957954,-0.059911,-0.280596,27.214146,29
0.958162,-0.056182,-0.280657,26.469824,10
0.958163,-0.05617,-0.280657,26.464754,25
0.958164,-0.056155,-0.280657,26.452286,14
0.958281,-0.053944,-0.280692,26.085039,25
0.958282,-0.05393,-0.280692,26.084599,14
0.958283,-0.053909,-0.280692,26.08354,18
0.958285,-0.053859,-0.280693,26.075291,7
0.958796,-0.038167,-0.281521,24.765333,5
0.958798,-0.038096,-0.281522,24.765324,24
0.958799,-0.038083,-0.281522,24.765184,9
0.957426,-0.06564,-0.281118,23.418539,29
0.957455,-0.065165,-0.281127,23.390051,25
0.986082,0.012464,-0.165795,57.405544,5
0.986121,0.012461,-0.165563,57.405407,20
0.986121,0.012461,-0.165563,57.404537,27
0.969156,-0.034618,-0.244006,34.49939,25
0.969156,-0.034608,-0.244006,34.481289,11
0.969156,-0.034596,-0.244007,34.420418,25
0.969159,-0.03453,-0.244007,34.420837,12
0.949295,-0.024732,-0.313413,32.612427,29
0.949295,-0.024721,-0.313413,32.607552,11
0.949295,-0.024705,-0.313413,32.605278,13
0.949156,-0.030078,-0.313367,32.47879,11
0.949156,-0.030067,-0.313367,32.476158,7
0.949156,-0.030048,-0.313367,32.472904,10
0.913153,-0.023911,-0.406915,30.932428,22
0.913154,-0.023838,-0.406916,30.932463,21
0.913151,-0.023975,-0.406915,30.937784,11
0.999437,0.019584,-0.027239,49.426277,22
0.999435,0.01957,-0.027322,49.434727,13
0.999433,0.019556,-0.027408,49.412655,18
0.999448,0.018163,-0.027828,49.530499,7
0.991177,0.012903,-0.131912,55.415428,9
0.991194,0.012902,-0.131784,55.404076,29
0.991216,0.0129,-0.131619,55.347385,5
0.991334,0.011905,-0.130821,55.346905,15
0.991374,0.007967,-0.130821,55.346081,21
0.993318,0.011881,-0.114798,60.255005,19
0.993346,0.011878,-0.114551,60.242451,23
0.993369,0.011875,-0.114358,60.222275,25
0.998373,0.016844,-0.05447,66.556297,19
0.998408,0.016842,-0.053834,66.554619,28
0.998431,0.01684,-0.05341,66.545525,6
0.998546,0.016863,-0.051207,66.544449,19
0.998545,0.016912,-0.051199,66.543495,11
0.992256,0.010912,-0.123728,64.679802,19
0.992282,0.010912,-0.123517,64.678268,9
0.992305,0.010911,-0.123334,64.669724,28
0.992434,0.01091,-0.122296,64.669258,25
0.992448,0.010943,-0.12218,64.685776,14
0.988771,0.012226,-0.148935,58.590946,22
0.988803,0.012223,-0.148726,58.575314,14
0.988833,0.01222,-0.148526,58.560383,5
0.988837,0.014417,-0.148301,49.952724,25
0.988837,0.014418,-0.148301,49.941132,8
0.988837,0.01442,-0.148302,49.884758,13
0.988657,0.007228,0.150021,95.081032,24
0.988655,0.007227,0.150028,95.10183,28
0.988654,0.007226,0.150036,95.123138,13
0.988665,0.005324,0.150045,95.106819,5
0.988632,0.003392,0.150316,95.088829,10
0.988617,0.00285,0.150429,95.066925,13
0.988599,0.001909,0.150558,95.038086,13
0.988574,0.000779,0.150736,94.994888,21
0.988545,-0.00058,0.150927,94.9095,21
0.988464,-0.002842,0.151426,94.48912,12
0.979311,0.012588,-0.201967,56.205139,13
0.979336,0.012586,-0.201846,56.193695,27
0.979361,0.012584,-0.201724,56.154125,5
0.979435,0.014852,-0.201211,48.750477,22
0.979435,0.014854,-0.201211,48.74123,9
0.979435,0.014855,-0.201211,48.714928,9
0.991453,0.01205,-0.129908,59.341648,28
0.991477,0.012048,-0.129723,59.32584,22
0.991506,0.012045,-0.129502,59.316315,19
0.992574,0.012111,-0.121034,59.30127,7
0.992606,0.012107,-0.120776,59.289394,7
0.99263,0.012103,-0.120575,59.223404,18
0.992766,0.012092,-0.119452,59.224106,9
0.992766,0.012127,-0.119447,59.22509,17
0.995368,0.01328,-0.095217,60.855244,6
0.995385,0.013278,-0.095038,60.836689,26
0.995416,0.013273,-0.09472,60.80584,5
0.995468,0.013693,-0.09411,52.964268,6
0.995468,0.013695,-0.09411,52.949913,29
0.995468,0.013696,-0.09411,52.869324,12
0.988436,0.012341,-0.151138,58.036522,11
0.988462,0.012339,-0.150968,58.025391,22
0.988485,0.012336,-0.150813,58.023842,22
0.970175,0.013377,-0.242037,53.510666,28
0.970199,0.013376,-0.241942,53.499416,15
0.970224,0.013375,-0.241841,53.428089,26
0.970383,0.013409,-0.241199,53.427395,9
0.810235,0.020991,-0.585729,32.589069,6
0.810183,0.02099,-0.585801,32.595814,20
0.810134,0.020988,-0.585869,32.631725,23
0.80987,0.021044,-0.586232,32.632874,17
0.809794,0.021209,-0.58633,32.633236,12
0.809788,0.021383,-0.586332,32.633545,6
0.809786,0.021522,-0.586331,32.633728,19
0.994846,0.011116,-0.100786,63.814011,24
0.994883,0.011114,-0.100418,63.810207,28
0.994899,0.011115,-0.100265,63.811199,11
0.999429,0.02138,0.026178,32.620186,6
0.99943,0.02138,0.026115,32.613777,23
0.999436,0.021385,0.025875,32.603039,6
0.972665,0.015366,-0.231706,52.796116,24
0.972713,0.015355,-0.231502,52.779613,15
0.972749,0.015348,-0.231354,52.722057,29
0.97287,0.015299,-0.230846,52.721703,12
0.828405,-0.053831,-0.557536,15.554775,25
0.828118,-0.05338,-0.558006,15.556129,25
0.827886,-0.058393,-0.557849,15.563423,20
0.976835,0.006801,-0.213886,101.824577,14
0.97683,0.006801,-0.213911,101.828087,24
0.976825,0.006801,-0.21393,101.832893,17
0.976831,0.004714,-0.21396,101.832436,6
0.976838,0.002772,-0.213962,101.830856,22
0.976841,0.001116,-0.213963,101.827553,21
0.976841,-0.001318,-0.213963,101.823776,28
0.976834,-0.003996,-0.213961,101.814133,7
0.976781,-0.006917,-0.214129,101.799179,15
0.984683,0.009406,-0.174102,73.308296,11
0.984689,0.009406,-0.174065,73.308434,13
0.984689,0.009406,-0.174065,73.309105,5
0.984689,0.009418,-0.174065,73.309425,14
0.984689,0.009442,-0.174065,73.309868,17
0.984689,0.009486,-0.174064,73.310455,7
0.984688,0.009537,-0.174064,73.311157,16
0.984688,0.009565,-0.174064,73.307175,7
0.984664,0.009614,-0.174194,73.289642,18
0.98462,0.00967,-0.174445,73.273537,16
-0.957744,0.108018,-0.266566,4.146489,13
-0.957846,0.108154,-0.266145,4.143757,29
-0.957955,0.108299,-0.265694,4.12311,18
-0.961637,0.048511,-0.270002,3.867934,29
-0.963712,-0.023854,-0.265877,3.520657,25
-0.961481,-0.117506,-0.248488,3.198722,12
-0.937828,-0.263788,-0.2256,2.89304,21
-0.89491,-0.391227,-0.214657,2.636238,16
-0.855723,-0.473093,-0.209572,2.42915,5
-0.816218,-0.522873,-0.245747,2.399238,20
0.980908,0.012665,-0.19406,56.130482,5
0.980946,0.012663,-0.193866,56.11813,15
0.980987,0.012662,-0.193658,56.073956,9
0.981135,0.012705,-0.192904,56.074139,13
0.999521,0.007196,-0.030084,96.585938,20
0.999521,0.007196,-0.030085,96.585907,11
0.999521,0.007196,-0.030085,96.585754,19
0.999525,0.0067,-0.030085,96.585754,28
0.999536,0.004785,-0.030086,96.585831,10
0.999547,0.001084,-0.030086,96.58593,25
0.999546,-0.001751,-0.030086,96.586029,25
0.994997,0.007171,0.099647,95.919388,14
0.994996,0.007171,0.099658,95.938843,14
0.994995,0.007171,0.099667,95.959259,21
0.995004,0.005606,0.099677,95.904152,11
0.995017,0.003573,0.099643,95.78241,26
0.995024,0.001912,0.099617,95.494743,22
0.994994,-0.001681,0.099919,95.141655,21
0.994941,-0.005526,0.100312,94.779991,17
0.99487,-0.009116,0.100748,94.407829,21
0.99482,-0.012049,0.100933,94.035591,22
0.994743,-0.015606,0.101203,93.635902,24
-0.972023,0.029784,-0.232989,22.724899,25
-0.972019,0.029817,-0.233002,22.71134,23
-0.972015,0.029845,-0.233014,22.698229,7
-0.971833,0.030377,-0.233703,22.466028,28
0.927113,0.135002,0.349622,6.880592,16
0.927092,0.134869,0.349728,6.876256,13
0.927072,0.13474,0.349831,6.872449,11
0.997782,0.017951,0.064097,39.511581,29
0.997789,0.01794,0.063989,39.524689,15
0.997801,0.01792,0.063805,39.546448,6
0.997878,0.017848,0.06261,39.692673,26
0.997408,0.012255,0.070902,77.737106,11
0.997406,0.012248,0.070924,77.737579,10
0.997406,0.012247,0.070925,77.736435,7
-0.843161,0.046349,-0.53566,13.533352,20
-0.843177,0.046398,-0.53563,13.534248,5
-0.843203,0.046474,-0.535582,13.53938,13
-0.842658,0.043802,-0.536664,13.357674,25
-0.841787,0.035317,-0.538654,13.134647,26
-0.842297,0.008002,-0.538953,12.904882,17
-0.841132,-0.026118,-0.540198,12.675009,21
-0.837962,-0.06298,-0.542082,12.405373,13
0.973796,-0.004552,0.227377,92.012527,6
0.973824,-0.00437,0.227262,92.005226,26
0.973811,-0.004056,0.227322,91.992264,7
0.996713,0.008608,0.080558,79.575951,26
0.996712,0.008607,0.080572,79.579582,17
0.996714,0.008276,0.080576,79.578255,5
0.996741,0.003954,0.080578,79.512039,5
0.996741,0.002767,0.080622,79.419868,6
0.996737,0.001712,0.080703,79.321251,16
0.996731,0.000604,0.080791,79.111534,23
0.996689,-0.002765,0.081267,78.790703,19
0.996597,-0.007768,0.082056,78.519043,12
0.996559,-0.01153,0.082081,78.246475,28
0.996524,-0.014229,0.082079,77.940842,20
0.996443,-0.019137,0.082072,77.566818,16
0.996299,-0.025583,0.082059,77.282539,19
0.996264,-0.026916,0.082056,76.97448,14
0.996266,-0.026844,0.082057,76.671432,26
0.99983,0.008694,0.016241,79.28022,29
0.99983,0.008692,0.016251,79.310143,19
0.99983,0.008691,0.016257,79.32193,23
0.99983,0.008753,0.016259,79.321632,13
0.999829,0.008842,0.016259,79.28006,13
0.999817,0.008896,0.01694,79.232697,23
0.999815,0.008945,0.017046,79.184143,25
0.994147,0.035214,0.102134,19.971615,10
0.994192,0.035222,0.10169,19.958452,24
0.994241,0.035231,0.101212,19.93943,6
0.491149,0.045871,-0.869867,15.220936,22
0.489792,0.045849,-0.870633,15.219609,15
0.488902,0.045836,-0.871134,15.196072,29
-0.179264,0.042848,-0.982867,14.098411,15
-0.179691,0.042873,-0.982788,14.095031,23
-0.179985,0.041812,-0.98278,14.063172,10
-0.183236,0.018981,-0.982886,13.71342,28
-0.187956,-0.000129,-0.982177,13.168882,22
-0.190191,-0.03098,-0.981258,12.572167,17
-0.191057,-0.062484,-0.979588,11.978113,14
-0.193031,-0.09065,-0.976996,11.361637,10
0.99736,0.011424,-0.071713,62.240303,13
0.997363,0.011424,-0.071676,62.240387,26
0.997363,0.011424,-0.071676,62.241726,19
0.998717,0.006942,0.05017,37.369324,24
0.998699,0.006811,0.050539,37.347332,16
0.998688,0.006733,0.050759,37.333153,23
0.998539,0.000288,0.054036,37.05238,15
0.97978,0.014255,-0.199567,50.282845,17
0.9798,0.014254,-0.199471,50.270947,26
0.979822,0.014253,-0.199364,50.253159,17
0.999623,0.024587,0.01225,27.737709,25
0.999626,0.024594,0.011998,27.726559,21
0.999629,0.024601,0.01168,27.712215,24
0.985724,0.013402,-0.167833,53.462143,12
0.985747,0.013401,-0.167698,53.452068,13
