@relation pasar

@attribute Direccion(x) numeric
@attribute Direccion(y) numeric
@attribute Direccion(z) numeric
@attribute Distancia numeric
@attribute Fuerza numeric

@data
-0.186501,0.00992,0.982405,68.99115,8
-0.186508,0.00992,0.982403,69.001617,11
-0.186518,0.009919,0.982401,69.057838,21
-0.186575,0.009916,0.982391,69.059685,29
-0.186579,0.008902,0.9824,69.059639,18
-0.186581,0.00765,0.98241,69.059616,20
-0.186582,0.00664,0.982417,69.059608,8
-0.186584,0.005406,0.982424,69.053383,26
-0.186565,0.004567,0.982432,68.519363,29
0.623773,-0.00601,0.781583,85.42659,19
0.626679,-0.006876,0.779247,85.334366,13
0.627776,-0.007609,0.778357,85.23571,18
0.627858,-0.008927,0.778277,85.132751,12
0.627854,-0.009881,0.778268,85.038803,5
0.627885,-0.010678,0.778233,84.936646,12
0.627919,-0.011511,0.778193,84.828842,23
0.628015,-0.012324,0.778104,84.704605,17
0.628161,-0.013444,0.777968,84.585709,20
0.628338,-0.014931,0.777797,84.460625,16
0.628419,-0.016367,0.777703,84.332703,27
0.62841,-0.017768,0.777679,84.18737,7
0.628396,-0.019052,0.777661,84.045792,7
0.628393,-0.019484,0.777652,83.878769,27
0.628427,-0.019487,0.777625,83.728416,15
0.628527,-0.019547,0.777542,83.552826,7
0.628697,-0.02229,0.777331,82.762535,24
0.628696,-0.022377,0.77733,82.744316,20
0.628693,-0.022583,0.777326,82.690018,29
0.628693,-0.02258,0.777326,82.690033,6
0.628693,-0.022575,0.777326,82.690109,9
0.628693,-0.022555,0.777326,82.690598,12
0.628694,-0.022518,0.777327,82.691376,12
0.628694,-0.02249,0.777327,82.692375,17
0.628694,-0.022464,0.777328,82.693779,12
0.628695,-0.022435,0.777328,82.695511,17
0.628695,-0.022407,0.777329,82.697319,7
0.628696,-0.022381,0.777329,82.699341,7
0.628696,-0.022357,0.77733,82.701378,9
0.628696,-0.022335,0.77733,82.703194,12
0.628697,-0.022316,0.77733,82.707024,29
0.628697,-0.022281,0.777331,82.710121,11
0.628697,-0.022255,0.777332,82.713295,6
0.628698,-0.022229,0.777332,82.716576,20
0.628698,-0.022204,0.777332,82.720222,6
0.628698,-0.022179,0.777333,82.72448,6
0.628821,0.010012,0.777486,71.791115,11
0.628821,0.010013,0.777486,71.783569,8
0.628821,0.010013,0.777486,71.726822,25
0.628821,0.009804,0.777488,71.726807,23
0.595387,0.008237,0.803397,83.165825,5
0.595363,0.008237,0.803415,83.170937,24
0.595337,0.008236,0.803434,83.17131,8
0.595342,0.006526,0.803446,83.171318,10
0.595346,0.005374,0.803451,83.17131,15
0.595348,0.004826,0.803453,83.171669,19
0.595351,0.003755,0.803457,83.116913,9
0.595362,0.002329,0.803454,83.027313,11
0.595367,0.00113,0.803453,82.948326,28
0.595367,0.000419,0.803453,82.804993,24
0.595254,-0.00122,0.803537,82.644569,16
0.595122,-0.003061,0.80363,82.441086,18
0.59503,-0.005193,0.803687,82.249687,16
0.595007,-0.006706,0.803693,82.08963,25
0.595001,-0.007913,0.803686,81.897911,10
0.594993,-0.009415,0.803675,81.708557,6
0.59498,-0.01156,0.803657,81.520851,26
0.594975,-0.01234,0.80365,81.305786,8
0.594962,-0.013983,0.803632,81.103897,15
0.594945,-0.015831,0.80361,80.875801,22
0.604257,0.025515,0.796381,25.777685,26
0.604254,0.025534,0.796383,25.770775,21
0.604251,0.02555,0.796384,25.753052,29
0.604254,0.021743,0.796495,25.740807,24
0.604264,0.013482,0.79667,25.728338,14
0.603902,0.004482,0.797046,25.714153,8
0.603683,-0.002642,0.79722,25.698082,25
0.603585,-0.007405,0.797264,25.680122,20
0.603474,-0.013292,0.797272,25.66408,11
0.603304,-0.022446,0.797195,25.649796,9
0.603148,-0.028233,0.797129,25.638241,20
0.602996,-0.032439,0.797085,25.626436,21
0.602825,-0.037718,0.796982,25.617832,18
0.483135,0.005476,0.875529,124.619637,12
0.483147,0.005476,0.875522,124.628784,13
0.483158,0.005475,0.875516,124.696129,19
0.483333,0.005475,0.875419,124.706352,7
